name,category,rate,price,time,price_numeric,price_text
Paris: Comedy Show - How to Become a Parisian,Entry ticket,4.7,"36,111 per person",70 - 75 minutes,36111,per person
Paris: Orangerie Museum Entry Ticket and Seine Cruise Ticket,Bundle,4.3,"49,502 per person",1 day,49502,per person
Paris: Private or Shared Cruise on the Seine,Water activity,4.9,"170,023 per person",100 minutes,170023,per person
Paris: 3-Hour Chocolate & Patisserie Walking Tour,Guided tour,4.7,"148,958 per person",3 hours,148958,per person
WWI Somme Battlefields Day Trip from Paris,Day trip,5.0,"315,972 per person",11 hours,315972,per person
Versailles: Palace of Versailles and Marie Antoinette Tour,Day trip,4.9,"204,630 per person",7 hours,204630,per person
Paris: Private Customized Tour with a Local Guide,Private tour,4.6,"82,755 per person",2 - 6 hours,82755,per person
Paris: Château de Vincennes Entry Ticket,Entry ticket,4.4,"14,294 per person",365 days,14294,per person
Paris: Louvre Museum Ticket and Mona Lisa Access with Host,Entry ticket,3.3,"75,231 per person",1 day,75231,per person
Paris: Behind the Scenes Bakery Tour with Breakfast,Workshop or class,4.7,"135,417 per person",2 hours,135417,per person
Paris: Big Bus Panoramic Night Tour,Guided tour,4.2,"43,333 per person",2 hours,43333,per person
Paris: Premium Private Transfer from/to Charles de Gaulle,Transfer,4.8,"127,863 per group up to 3",35 minutes,127863,per group up to 3
From Paris: Small-Group Champagne Tour with 3-Course Lunch,Day trip,4.7,"525,115 per person",11 hours,525115,per person
Behind the Scenes of the Grand Rex: 50-Minute Studio Tour,Entry ticket,4.6,"16,551 per person",50 minutes,16551,per person
2-Hour Bread Making Class in Paris,Workshop or class,4.8,"209,143 per person",2 hours,209143,per person
Paris: Professional Photoshoot at the Eiffel Tower,Private tour,4.4,"82,755 per group up to 1",30 - 45 minutes,82755,per group up to 1
Paris: Wine Museum Guided Tour with Wine Tasting,Workshop or class,4.5,"54,167 per person",1 hour,54167,per person
Paris: Arc de Triomphe Entry with Seine Cruise,Bundle,4.4,"46,027 per person",3 hours,46027,per person
Paris: Eiffel Tower Guided Tour and Seine River Cruise,Bundle,4.6,"103,518 per person",3 hours,103518,per person
Paris: Heart of Paris Private Boat Tour with Bottle of Wine,Water activity,4.8,"750,810 per group up to 8",2.5 hours,750810,per group up to 8
From London: Luxury Paris Full-Day Trip,Day trip,4.5,"604,911 per person",14 hours,604911,per person
From Paris: Normandy D-Day Beaches Day Trip,Day trip,4.6,"278,356 per person",14 hours,278356,per person
Paris: Evening Cruise with Drink and City Walking Tour,Bundle,4.2,"39,256 per person",2 hours,39256,per person
